DonorClientNm,RecipientClientNm,AmountPaid,
"Altum Property Trust","National Party of Australia (Queensland) - QLD","189435.0000",
"Beneficiaries of National Free Enterprise Foundation","National Party of Australia - N.S.W. - NSW","117101.0000",
"6 St Paul's Terrace Trust","National Party of Australia (Queensland) - QLD","52000.0000",
"Beneficiaries of National Building Foundation","National Party of Australia - N.S.W. - NSW","50144.0000",
"Beneficiaries of Green & Gold Foundation","National Party of Australia - N.S.W. - NSW","30530.0000",
"Manildra Flour Mills Pty Ltd","National Party of Australia - NATIONAL","29100.0000",
"Adstream Marine Limited","National Party of Australia - NATIONAL","20000.0000",
"Philip Morris Limited","National Party of Australia - NATIONAL","20000.0000",
"British American Tobacco Australia Ltd","National Party of Australia - NATIONAL","16600.0000",
"Leighton Holdings Limited","National Party of Australia - NATIONAL","15100.0000",
"Mirvac Group","National Party of Australia - N.S.W. - NSW","15000.0000",
"Westpac Banking Corporation","National Party of Australia - NATIONAL","14620.0000",
"Australian Hotels Association (NSW)","National Party of Australia - N.S.W. - NSW","14076.0000",
"Macquarie Bank","National Party of Australia - NATIONAL","13900.0000",
"Globalstar Australia Pty Ltd","National Party of Australia - N.S.W. - NSW","13750.0000",
"The Pharmacy Guild of Australia","National Party of Australia (Queensland) - QLD","12203.0000",
"Metcash Limited","National Party of Australia - NATIONAL","12018.1900",
"BMM Property Investments Pty Ltd","National Party of Australia (Queensland) - QLD","10000.0000",
"Wesfarmers Limited","National Party of Australia - NATIONAL","10000.0000",
"Wesfarmers Limited","National Party of Australia (WA) Inc - WA","10000.0000",
"DSICA","National Party of Australia - NATIONAL","9342.0000",
"Medicines Australia Incorporated","National Party of Australia - NATIONAL","8000.0000",
"Transurban Limited","National Party of Australia - NATIONAL","7900.0000",
"Philip Morris Limited","National Party of Australia - Victoria - VIC","6800.0000",
"Tabcorp Holdings Ltd","National Party of Australia - N.S.W. - NSW","5500.0000",
"J J Richards & Sons Pty Ltd","National Party of Australia (Queensland) - QLD","5250.0000",
"Singtel Optus Pty Ltd","National Party of Australia - NATIONAL","5060.0000",
"Ascot Capital Limited","National Party of Australia (WA) Inc - WA","5000.0000",
"Macquarie Telecom Pty Ltd","National Party of Australia (Queensland) - QLD","5000.0000",
"Metcash Limited","National Party of Australia - N.S.W. - NSW","5000.0000",
"Mr Thomas Gorton","National Party of Australia (Queensland) - QLD","5000.0000",
"Pegasus Towers Corporation Pty Ltd","National Party of Australia (Queensland) - QLD","5000.0000",
"Philip Morris Limited","National Party of Australia (Queensland) - QLD","5000.0000",
"W H Bowden Pty Ltd","National Party of Australia (Queensland) - QLD","5000.0000",
"Servcorp Administration Pty Ltd","National Party of Australia - NATIONAL","4860.0000",
"John Fairfax Holdings Ltd","National Party of Australia - NATIONAL","4700.0000",
"NSW Taxi Council Ltd","National Party of Australia - NATIONAL","4636.3700",
"Foster's Group Ltd","National Party of Australia - NATIONAL","4609.4200",
"St George Bank Ltd","National Party of Australia - N.S.W. - NSW","4360.0000",
"The Pharmacy Guild of Australia","National Party of Australia - NATIONAL","3850.0000",
"Clubs NSW","National Party of Australia - N.S.W. - NSW","3600.0000",
"Transurban Limited","National Party of Australia - N.S.W. - NSW","3535.0000",
"Leighton Contractors Pty Ltd (NSW)","National Party of Australia (Queensland) - QLD","3500.0000",
"Metcash Limited","National Party of Australia (Queensland) - QLD","3500.0000",
"Financial Planning Association of Australia Ltd","National Party of Australia - NATIONAL","3300.0000",
"Parker & Partners Pty Ltd","National Party of Australia - NATIONAL","3300.0000",
"Tenix Pty Ltd","National Party of Australia - NATIONAL","3300.0000",
"The Village Building Co Limited","National Party of Australia - NATIONAL","3300.0000",
"The Pharmacy Guild of Australia","National Party of Australia - N.S.W. - NSW","3100.0000",
"Macquarie Telecom Pty Ltd","National Party of Australia - NATIONAL","3000.0000",
"Mineralogy Pty Ltd","National Party of Australia (Queensland) - QLD","3000.0000",
"Publishing and Broadcasting Ltd","National Party of Australia (WA) Inc - WA","3000.0000",
"Sydney Airport Corp","National Party of Australia - NATIONAL","3000.0000",
"Philip Morris Limited","National Party of Australia - N.S.W. - NSW","2475.0000",
"Dundee Investments Pty Ltd","National Party of Australia (Queensland) - QLD","2000.0000",
"Rico Investments Pty Ltd","National Party of Australia (Queensland) - QLD","2000.0000",
"Austral Fisheries Pty Ltd","National Party of Australia (WA) Inc - WA","1818.1800",
"Manildra Flour Mills Pty Ltd","National Party of Australia - N.S.W. - NSW","1800.0000",
"Senator Julian McGauran","National Party of Australia - Victoria - VIC","1800.0000",
"Smorgon Steel Group Ltd","National Party of Australia - Victoria - VIC","1540.0000",
"The Pharmacy Guild of Australia","National Party of Australia - Victoria - VIC","1540.0000",
"Optometrists Association Aust (Vic)","National Party of Australia - Victoria - VIC","1500.0000",
"Thiess Pty Ltd Corporate","National Party of Australia (Queensland) - QLD","1300.0000",
"Manildra Flour Mills Pty Ltd","National Party of Australia (Queensland) - QLD","1165.0000",
"Australian Hotels Association Inc.","National Party of Australia - Victoria - VIC","1100.0000",
"McKesson Asia Pacific Pty Ltd","National Party of Australia - NATIONAL","1000.0000",
"Lewiac Pty Ltd","National Party of Australia (Queensland) - QLD","900.0000",
"NSW Taxi Council Ltd","National Party of Australia - N.S.W. - NSW","845.4600",
"Promina Group Limited","National Party of Australia - N.S.W. - NSW","660.0000",
"Merck, Sharp & Dohme (Australia) Pty Limited","National Party of Australia - N.S.W. - NSW","630.0000",
"The Pharmacy Guild of Australia","National Party of Australia (S.A.) Inc. - SA","550.0000",
"Deloitte","National Party of Australia - NATIONAL","300.0000",
"Suncorp Metway Ltd","National Party of Australia (Queensland) - QLD","270.0000",
